cat,name,ra,dec,size,bri
IC,2624,11h07m18s,-19d28m00s,3.0,2
IC,2625,11h07m18s,-19d33m00s,1.5,2
IC,2627,11h09m54s,-23d44m00s,2.7,2
IC,2634,11h13m30s,+10d30m00s,0.4,1
IC,2637,11h13m48s,+09d36m00s,0.9,1
IC,2638,11h13m54s,+10d34m00s,1.1,1
IC,2649,11h14m48s,+11d08m00s,0.6,1
IC,2666,11h15m42s,+13d47m00s,0.7,1
IC,2668,11h15m30s,-14d11m00s,1.0,1
IC,2674,11h16m12s,+11d03m00s,1.4,1
IC,2714,11h17m54s,-62d42m00s,12.0,3
IC,2735,11h21m00s,+34d21m00s,1.2,1
IC,2738,11h21m18s,+34d22m00s,0.6,2
IC,2744,11h21m42s,+34d22m00s,0.4,1
IC,2752,11h22m00s,+14d08m00s,0.3,2
IC,2754,11h22m00s,+14d09m00s,0.5,2
IC,2761,11h22m18s,+14d11m00s,0.1,2
IC,2764,11h27m06s,-28d59m00s,1.7,2
IC,2765,11h22m24s,+14d13m00s,0.1,2
IC,2769,11h22m24s,+14d12m00s,0.1,2
IC,2782,11h22m54s,+13d27m00s,1.1,1
IC,2787,11h23m18s,+13d39m00s,1.0,1
IC,2799,11h24m24s,+13d51m00s,0.4,2
IC,2804,11h24m54s,+13d13m00s,0.8,1
IC,2810,11h25m48s,+14d40m00s,1.0,2
IC,2822,11h26m36s,+11d26m00s,1.7,1
IC,2828,11h27m12s,+08d43m00s,1.0,1
IC,2846,11h28m00s,+11d09m00s,0.8,1
IC,2853,11h28m18s,+09d08m00s,1.0,1
IC,2856,11h28m12s,-12d53m00s,0.7,1
IC,2861,11h29m00s,+38d51m00s,0.2,1
IC,2870,11h29m06s,+11d52m00s,1.4,1
IC,2871,11h29m18s,+08d36m00s,0.7,1
IC,2872,11h29m00s,-62d57m00s,12.0,2
IC,2873,11h29m30s,+13d12m00s,0.6,1
IC,2910,11h31m54s,-09d45m00s,0.3,1
IC,2913,11h31m48s,-30d25m00s,0.4,1
IC,2928,11h33m30s,+34d18m00s,1.2,1
IC,2933,11h34m12s,+34d18m00s,1.4,1
IC,2934,11h34m18s,+13d20m00s,0.6,1
IC,2941,11h36m12s,+10d03m00s,0.8,1
IC,2943,11h36m42s,+54d51m00s,0.4,1
IC,2944,11h36m36s,-63d02m00s,75.0,3
IC,2945,11h37m06s,+12d55m00s,1.2,1
IC,2947,11h37m30s,+31d22m00s,0.6,1
IC,2948,11h38m48s,-63d32m00s,60.0,2
IC,2951,11h43m24s,+19d44m00s,1.4,1
IC,2954,11h45m12s,+26d46m00s,1.3,1
IC,2955,11h45m06s,+19d36m00s,1.3,1
IC,2956,11h45m12s,+26d46m00s,1.3,1
IC,2958,11h45m42s,+33d09m00s,0.5,1
IC,2959,11h46m06s,+33d06m00s,1.1,1
IC,2963,11h49m24s,-05d07m00s,1.1,1
IC,2965,11h54m00s,-19d34m00s,2.5,2
IC,2966,11h50m24s,-64d54m00s,3.0,2
IC,2967,11h50m48s,+30d52m00s,0.3,1
IC,2968,11h52m36s,+20d36m00s,0.4,1
IC,2972,11h53m42s,-03d59m00s,0.9,1
