name,ra,dec,size,mag
256,00h18m50s,-10d21m42s,1.1,13.6
256,00h18m51s,-10d22m37s,1.1,14.8
257,08h51m38s,-02d22m00s,0.6,15.0
257,08h51m38s,-02d21m15s,1.5,17.0
258,02h39m06s,+18d22m58s,1.7,15.4
258,02h39m09s,+18d22m03s,0.9,15.5
259,05h01m38s,-04d15m28s,1.4,13.3
260,12h13m39s,+16d07m19s,1.4,14.8
262,23h56m45s,+16d48m45s,2.4,13.2
262,23h56m44s,+16d48m27s,0.5,14.6
263,10h25m05s,+17d09m35s,5.0,11.4
264,10h03m57s,+40d45m25s,3.4,13.1
265,12h53m53s,+36d05m10s,1.3,16.0
266,12h59m02s,+34d51m39s,4.0,12.3
267,10h36m43s,+31d32m51s,2.0,14.7
268,08h19m06s,+70d42m51s,8.0,10.7
269,12h30m31s,+41d41m58s,2.3,12.0
269,12h30m37s,+41d38m23s,6.4,9.8
270,10h49m50s,+32d58m50s,2.1,12.1
270,10h49m56s,+32d59m24s,3.1,12.2
271,14h03m25s,-06d04m10s,3.0,12.2
271,14h03m26s,-06d01m50s,2.8,11.4
272,16h05m31s,+17d46m09s,0.7,15.2
273,02h21m29s,+39d22m31s,2.2,13.7
273,02h21m32s,+39d21m23s,1.5,15.3
274,14h35m06s,+05d20m55s,1.1,13.0
274,14h35m08s,+05d21m35s,1.2,13.5
274,14h35m09s,+05d21m27s,0.2,15.0
275,09h25m55s,-11d59m01s,1.1,13.3
276,02h28m12s,+19d34m24s,1.3,14.8
276,02h28m11s,+19d36m00s,1.7,12.9
277,12h54m51s,+02d39m12s,1.8,13.7
277,12h54m51s,+02d38m25s,1.9,13.0
278,22h19m29s,+29d23m11s,1.6,14.2
278,22h19m26s,+29d23m53s,1.7,13.6
279,03h14m09s,-02d49m22s,5.3,11.7
279,03h14m23s,-02d48m13s,1.7,13.9
280,11h37m50s,+47d52m53s,1.1,14.2
280,11h37m44s,+47d53m28s,3.1,11.8
281,12h42m06s,+32d32m22s,15.5,9.3
281,12h42m00s,+32d34m25s,2.6,12.3
282,00h36m52s,+23d59m04s,0.8,14.0
282,00h36m52s,+23d59m30s,2.7,12.4
283,09h17m31s,+41d59m38s,1.9,14.0
283,09h17m23s,+41d59m58s,2.6,12.3
284,23h36m22s,+02d09m24s,2.6,14.2
284,23h36m14s,+02d09m18s,1.9,12.5
285,09h24m16s,+49d14m54s,1.1,13.1
285,09h24m03s,+49d12m14s,1.7,13.0
286,14h20m05s,+03d59m34s,3.7,12.4
286,14h20m20s,+03d55m59s,6.6,10.5
286,14h20m32s,+03d58m57s,1.7,13.2
287,09h02m39s,+25d56m06s,1.2,13.3
287,09h02m42s,+25d56m18s,0.2,15.8
288,13h34m56s,+13d49m55s,2.4,13.0
288,13h34m55s,+13d44m30s,1.6,13.1
289,11h56m07s,-19d53m42s,5.3,11.0
290,02h03m50s,+14d44m23s,2.8,14.2
290,02h03m45s,+14d42m31s,1.6,14.3
291,10h42m49s,+13d27m34s,1.2,13.7
292,09h54m33s,-06d51m27s,1.7,13.2
293,16h58m31s,+58d56m13s,1.3,13.3
293,16h58m24s,+58d57m21s,1.3,13.5
294,11h39m45s,+31d55m52s,2.2,12.6
294,11h39m43s,+31d54m33s,2.2,12.3
295,23h41m48s,-03d40m37s,1.9,14.5
295,23h42m04s,-03d35m21s,0.9,14.6
296,11h28m49s,+58d35m26s,0.7,15.7
